City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,Ndjole,-0.1783,10.7649,76.78,95,100,3.11,GA,2022-10-15 15:54:08
121,Bara,10.3744,10.7288,89.44,39,91,3.51,NG,2022-10-15 15:54:08
122,Bethel,41.3712,-73.414,65.57,62,20,3.0,US,2022-10-15 15:54:09
123,Aksarka,66.5606,67.7975,38.82,89,100,2.91,RU,2022-10-15 15:54:09
124,Bambous Virieux,-20.3428,57.7575,71.85,68,40,8.05,MU,2022-10-15 15:54:10
125,Kindu,-2.95,25.95,81.09,67,92,2.82,CD,2022-10-15 15:54:10
126,Kahului,20.8947,-156.47,76.84,92,78,3.0,US,2022-10-15 15:54:10
127,Parana,-31.732,-60.5238,54.37,81,99,7.36,AR,2022-10-15 15:54:11
128,Yerbogachen,61.2767,108.0108,29.25,80,100,8.32,RU,2022-10-15 15:54:11
129,Bredasdorp,-34.5322,20.0403,59.47,88,100,20.15,ZA,2022-10-15 15:54:12
130,Gizo,-8.103,156.8419,81.54,73,36,3.49,SB,2022-10-15 15:54:13
131,Half Moon Bay,37.4636,-122.4286,59.31,90,100,10.36,US,2022-10-15 15:54:13
132,Cartagena,10.3997,-75.5144,82.02,83,40,9.22,CO,2022-10-15 15:54:14
133,Laguna,38.421,-121.4238,62.29,89,40,1.99,US,2022-10-15 15:54:14
134,Lorengau,-2.0226,147.2712,81.64,79,36,7.25,PG,2022-10-15 15:54:15
135,Boyabat,41.4689,34.7667,59.43,70,97,4.12,TR,2022-10-15 15:55:15
136,Avera,33.194,-82.5271,74.55,36,0,5.01,US,2022-10-15 15:55:16
137,Challakere,14.3167,76.65,74.66,85,97,8.48,IN,2022-10-15 15:55:16
138,Port-Cartier,50.0334,-66.8654,48.42,98,100,17.83,CA,2022-10-15 15:55:17
139,Khatanga,71.9667,102.5,33.22,98,100,17.69,RU,2022-10-15 15:54:08
140,Kemijarvi,66.7131,27.4306,44.89,93,100,8.81,FI,2022-10-15 15:55:18
141,Maningrida,-12.0667,134.2667,81.7,80,100,5.1,AU,2022-10-15 15:55:18
142,Chokurdakh,70.6333,147.9167,10.63,96,95,7.83,RU,2022-10-15 15:55:19
